Shaft Encoder(cm),Axial_Sig,Radial_Sig,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,Sensor22,Sensor23,Sensor24,Sensor25,Sensor26,Sensor27,Sensor28,Sensor29,Sensor30,Sensor31,Sensor32
2352.6729,1735.8,671.18,1023.44,1015.63,898.44,1007.81,984.38,1015.63,1023.44,992.19,1039.06,953.13,1062.5,1085.94,1960.94,1117.19,1992.19,1000,1070.31,1054.69,1914.06,1031.25,960.94,960.94,960.94,976.56,968.75,984.38,976.56,890.63,929.69,976.56,984.38,968.75
2353.8091,1737.89,672.21,1031.25,1023.44,898.44,1007.81,1000,1007.81,1023.44,984.38,1039.06,953.13,1054.69,1085.94,1968.75,1117.19,1992.19,992.19,1070.31,1062.5,1906.25,1039.06,960.94,953.13,960.94,968.75,968.75,976.56,984.38,890.63,921.88,984.38,984.38,976.56
2354.2258,1740.3,672.19,1031.25,1023.44,898.44,1007.81,992.19,1015.63,1031.25,976.56,1039.06,960.94,1054.69,1078.13,1968.75,1109.38,1992.19,992.19,1062.5,1062.5,1914.06,1039.06,960.94,960.94,953.13,968.75,960.94,976.56,984.38,882.81,921.88,984.38,984.38,976.56
2354.4909,1739.82,670.79,1031.25,1031.25,898.44,1000,992.19,1015.63,1023.44,984.38,1031.25,960.94,1054.69,1085.94,1960.94,1109.38,1992.19,984.38,1070.31,1054.69,1914.06,1031.25,953.13,953.13,960.94,976.56,968.75,976.56,984.38,882.81,929.69,976.56,976.56,976.56
2354.9075,1738.57,669.56,1031.25,1023.44,898.44,1007.81,992.19,1007.81,1015.63,992.19,1039.06,953.13,1062.5,1078.13,1960.94,1109.38,1992.19,1000,1070.31,1070.31,1882.81,1023.44,953.13,960.94,960.94,968.75,968.75,968.75,984.38,882.81,929.69,984.38,984.38,968.75
2355.3241,1739.69,669.38,1023.44,1023.44,906.25,1007.81,992.19,1015.63,1015.63,992.19,1039.06,953.13,1046.88,1070.31,1960.94,1109.38,1992.19,1007.81,1078.13,1070.31,1914.06,1031.25,960.94,953.13,960.94,968.75,968.75,968.75,984.38,890.63,929.69,984.38,984.38,968.75
2355.6271,1739.44,671.08,1023.44,1015.63,906.25,1007.81,992.19,1007.81,1023.44,976.56,1039.06,960.94,1054.69,1078.13,1960.94,1109.38,1992.19,992.19,1062.5,1070.31,1914.06,1039.06,953.13,960.94,960.94,976.56,968.75,976.56,984.38,890.63,929.69,984.38,984.38,976.56
2356.3846,1740.32,673.83,1031.25,1031.25,898.44,1007.81,984.38,1015.63,1023.44,984.38,1046.88,953.13,1046.88,1085.94,1968.75,1125,1992.19,992.19,1062.5,1070.31,1914.06,1031.25,953.13,953.13,960.94,976.56,960.94,968.75,992.19,890.63,929.69,984.38,992.19,976.56
2356.6875,1743.34,677.51,1023.44,1015.63,890.63,1007.81,1000,1015.63,1015.63,984.38,1039.06,960.94,1070.31,1085.94,1960.94,1117.19,1992.19,1000,1070.31,1070.31,1929.69,1023.44,960.94,953.13,960.94,976.56,968.75,976.56,992.19,890.63,929.69,984.38,992.19,976.56
2357.0663,1745.07,679.5,1023.44,1023.44,898.44,1007.81,1000,1015.63,1023.44,984.38,1031.25,960.94,1046.88,1085.94,1960.94,1125,1992.19,984.38,1070.31,1070.31,1914.06,1031.25,953.13,960.94,953.13,968.75,960.94,984.38,984.38,890.63,929.69,984.38,984.38,968.75
2357.4829,1749.26,680.47,1031.25,1023.44,906.25,1007.81,1000,1015.63,1015.63,984.38,1031.25,953.13,1062.5,1085.94,1968.75,1117.19,1992.19,1000,1078.13,1062.5,1906.25,1039.06,968.75,960.94,960.94,976.56,960.94,976.56,984.38,890.63,929.69,984.38,984.38,976.56
2358.9221,1752.02,679.47,1023.44,1023.44,906.25,1007.81,992.19,1015.63,1023.44,984.38,1046.88,953.13,1054.69,1085.94,1960.94,1117.19,1992.19,992.19,1062.5,1062.5,1906.25,1023.44,953.13,960.94,953.13,968.75,968.75,976.56,984.38,882.81,929.69,976.56,976.56,968.75
2359.1493,1752.58,679.39,1031.25,1023.44,906.25,1007.81,1000,1007.81,1031.25,984.38,1039.06,945.31,1062.5,1078.13,1968.75,1117.19,1992.19,1000,1070.31,1062.5,1914.06,1031.25,960.94,960.94,953.13,976.56,976.56,976.56,992.19,890.63,929.69,984.38,984.38,976.56
2359.5659,1753.05,681.16,1023.44,1023.44,898.44,1007.81,984.38,1015.63,1015.63,984.38,1039.06,960.94,1054.69,1093.75,1960.94,1117.19,1992.19,992.19,1062.5,1062.5,1945.31,1031.25,960.94,960.94,953.13,976.56,968.75,976.56,984.38,890.63,921.88,984.38,976.56,968.75
2359.9826,1752.08,679.16,1031.25,1023.44,898.44,1007.81,992.19,1015.63,1015.63,984.38,1031.25,953.13,1062.5,1085.94,1968.75,1117.19,1992.19,992.19,1070.31,1054.69,1906.25,1031.25,960.94,953.13,960.94,976.56,968.75,976.56,984.38,882.81,921.88,976.56,984.38,968.75
2360.2477,1751.19,677.28,1023.44,1023.44,906.25,1000,992.19,1015.63,1023.44,984.38,1046.88,960.94,1054.69,1078.13,1968.75,1117.19,1992.19,992.19,1070.31,1062.5,1906.25,1023.44,960.94,960.94,960.94,968.75,968.75,976.56,984.38,882.81,937.5,976.56,976.56,968.75
2360.6264,1749.22,675.62,1031.25,1023.44,906.25,1007.81,992.19,1007.81,1023.44,976.56,1031.25,953.13,1054.69,1093.75,1960.94,1117.19,1992.19,992.19,1062.5,1062.5,1914.06,1023.44,953.13,960.94,960.94,976.56,968.75,976.56,984.38,882.81,921.88,976.56,984.38,968.75
2361.4975,1746.57,673.82,1031.25,1023.44,906.25,1007.81,992.19,1015.63,1031.25,984.38,1039.06,953.13,1054.69,1078.13,1953.13,1109.38,1992.19,984.38,1070.31,1062.5,1875,1023.44,960.94,960.94,960.94,968.75,968.75,984.38,976.56,890.63,921.88,976.56,984.38,968.75
2361.7626,1745.67,673.16,1023.44,1031.25,906.25,1007.81,992.19,1015.63,1023.44,984.38,1039.06,945.31,1062.5,1078.13,1968.75,1125,1992.19,984.38,1070.31,1062.5,1906.25,1039.06,960.94,960.94,960.94,976.56,968.75,976.56,984.38,882.81,921.88,984.38,976.56,968.75
2362.1792,1743.94,674,1023.44,1031.25,898.44,1000,1000,1015.63,1023.44,984.38,1039.06,953.13,1054.69,1085.94,1953.13,1117.19,1992.19,984.38,1062.5,1054.69,1914.06,1031.25,953.13,960.94,960.94,976.56,968.75,976.56,984.38,882.81,921.88,984.38,1000,968.75
2362.5958,1742.86,674.29,1031.25,1023.44,898.44,1015.63,992.19,1007.81,1023.44,976.56,1046.88,960.94,1062.5,1085.94,1960.94,1109.38,1992.19,992.19,1070.31,1062.5,1914.06,1031.25,960.94,960.94,960.94,976.56,968.75,976.56,976.56,882.81,929.69,976.56,984.38,968.75
2362.8988,1745.5,674.03,1023.44,1023.44,906.25,1007.81,992.19,1015.63,1023.44,992.19,1039.06,953.13,1062.5,1085.94,1968.75,1109.38,1992.19,992.19,1070.31,1070.31,1914.06,1031.25,968.75,960.94,960.94,976.56,968.75,984.38,984.38,890.63,921.88,976.56,976.56,968.75
2363.3154,1748.54,675.65,1031.25,1031.25,906.25,1007.81,992.19,1023.44,1015.63,984.38,1046.88,953.13,1054.69,1078.13,1960.94,1117.19,1992.19,992.19,1070.31,1062.5,1914.06,1031.25,960.94,960.94,960.94,976.56,968.75,976.56,984.38,882.81,929.69,984.38,984.38,976.56
2364.4516,1749.22,677.08,1039.06,1023.44,890.63,1007.81,1000,1015.63,1023.44,984.38,1046.88,960.94,1054.69,1078.13,1953.13,1109.38,1992.19,984.38,1062.5,1062.5,1914.06,1031.25,960.94,960.94,960.94,976.56,968.75,976.56,984.38,882.81,929.69,976.56,984.38,976.56
2365.0955,1747.42,677.41,1023.44,1031.25,906.25,1000,992.19,1015.63,1023.44,984.38,1039.06,953.13,1054.69,1085.94,1960.94,1117.19,1992.19,992.19,1070.31,1062.5,1914.06,1031.25,960.94,960.94,953.13,976.56,968.75,976.56,984.38,882.81,929.69,984.38,976.56,976.56
2365.8908,1749.39,679.88,1031.25,1031.25,906.25,1007.81,1007.81,1015.63,1015.63,984.38,1031.25,968.75,1062.5,1070.31,1968.75,1117.19,1992.19,992.19,1070.31,1062.5,1945.31,1031.25,960.94,953.13,960.94,976.56,968.75,984.38,992.19,890.63,929.69,984.38,984.38,976.56
2366.2696,1751.65,682.98,1023.44,1031.25,898.44,1007.81,992.19,1023.44,1023.44,984.38,1039.06,953.13,1070.31,1085.94,1960.94,1109.38,1992.19,992.19,1062.5,1062.5,1914.06,1023.44,960.94,953.13,960.94,968.75,968.75,984.38,984.38,890.63,929.69,984.38,992.19,968.75
2366.5347,1748.56,684.32,1023.44,1023.44,890.63,1000,992.19,1007.81,1031.25,976.56,1039.06,945.31,1054.69,1078.13,1968.75,1125,1992.19,1000,1070.31,1062.5,1906.25,1031.25,960.94,968.75,953.13,976.56,968.75,976.56,992.19,882.81,929.69,984.38,976.56,968.75
2366.9513,1748.11,686.76,1023.44,1023.44,898.44,1007.81,992.19,1015.63,1031.25,984.38,1039.06,960.94,1070.31,1085.94,1960.94,1117.19,1992.19,992.19,1070.31,1062.5,1914.06,1039.06,960.94,960.94,960.94,976.56,968.75,984.38,992.19,890.63,929.69,984.38,984.38,968.75
2367.633,1750.89,687.2,1031.25,1023.44,898.44,992.19,1000,1015.63,1023.44,984.38,1031.25,953.13,1070.31,1085.94,1968.75,1117.19,1992.19,992.19,1070.31,1062.5,1945.31,1031.25,960.94,960.94,960.94,968.75,968.75,976.56,984.38,890.63,921.88,976.56,984.38,968.75
2368.4662,1752.91,682.17,1031.25,1023.44,914.06,1007.81,984.38,1015.63,1023.44,984.38,1039.06,960.94,1062.5,1085.94,1968.75,1117.19,1992.19,992.19,1070.31,1054.69,1914.06,1031.25,953.13,953.13,960.94,976.56,968.75,984.38,984.38,890.63,921.88,984.38,937.5,960.94
2369.148,1756.11,678.53,1031.25,1031.25,898.44,1007.81,984.38,1015.63,1031.25,976.56,1046.88,953.13,1054.69,1085.94,1960.94,1125,1992.19,992.19,1070.31,1062.5,1914.06,1031.25,960.94,960.94,960.94,976.56,968.75,976.56,992.19,882.81,929.69,976.56,976.56,968.75
2370.3221,1759.15,678.1,1039.06,1031.25,906.25,1007.81,992.19,1007.81,1023.44,984.38,1039.06,960.94,1062.5,1085.94,1968.75,1125,1992.19,1000,1062.5,1054.69,1914.06,1031.25,968.75,960.94,968.75,976.56,968.75,976.56,976.56,890.63,921.88,976.56,976.56,968.75
